"CTL"	"dysfunction"
"CCL18"	0	0
"CCL2"	0	0
"CCL24"	0	0
"CCL25"	0	0
"CCL26"	0	0
"CCL28"	1	0
"CCL5"	0	0
"CCL8"	0	0
"CCM2"	0	0
"CCN4"	0	0
"CCNA2"	0	1
"CCNC"	0	3
"CCND1"	0	0
"CCND2"	0	0
"CCND3"	0	0
"CCNE1"	0	1
"CCNH"	0	0
"CCNL1"	0	0
"CCNL2"	0	0
"CCNT1"	0	0
"CCNT2"	0	1
"CCR1"	0	0
"CCR10"	0	0
"CCR2"	0	0
"CCR4"	0	0
"CCR5"	0	0
"CCR6"	0	0
"CCR7"	0	0
"CCR9"	0	0
"CCRL2"	0	0
"CCT6B"	0	1
"CD101"	0	0
"CD14"	0	0
"CD160"	0	0
"CD19"	0	0
"CD2"	0	0
"CD209"	0	0
"CD22"	0	0
"CD226"	0	0
"CD24"	0	0
"CD244"	0	0
"CD247"	0	0
"CD27"	0	0
"CD274"	0	0
"CD28"	0	0
"CD2AP"	0	3
"CD300C"	0	0
"CD33"	0	0
"CD34"	0	0
"CD36"	0	0
"CD38"	0	0
"CD3D"	0	0
"CD3E"	0	0
"CD3EAP"	0	1
"CD4"	0	0
"CD40"	0	0
"CD44"	0	0
"CD48"	0	0
"CD5"	0	0
"CD53"	0	0
"CD58"	0	0
"CD59"	0	0
"CD69"	0	0
"CD7"	0	0
"CD70"	0	0
"CD72"	0	0
"CD74"	0	0
"CD79A"	0	0
"CD79B"	0	0
"CD80"	0	0
"CD81"	0	0
"CD83"	0	0
"CD86"	0	0
"CD8A"	0	0
"CD8B"	0	0
"CDA"	0	0
"CDC42BPA"	2	1
"CDC42BPB"	0	0
"CDC42BPG"	0	1
"CDC42EP1"	0	0
"CDC42EP4"	0	0
"CDC42EP5"	0	0
"CDC42SE1"	0	1
"CDC42SE2"	0	0
"CDC5L"	0	4
"CDC73"	0	4
"CDCA7"	0	1
"CDCA7L"	3	1
"CDH1"	1	1
"CDH2"	0	0
"CDK12"	1	0
"CDK18"	0	0
"CDK2"	0	1
"CDK4"	0	1
"CDK6"	0	0
"CDK7"	0	3
"CDK9"	0	0
"CDKL2"	1	0
"CDKN1A"	0	0
"CDKN1B"	0	0
"CDKN2C"	0	0
"CDON"	0	0
"CDS1"	3	0
"CDX1"	0	0
"CDYL"	0	2
"CEACAM1"	0	0
"CEACAM6"	2	0
"CEBPA"	0	0
"CEBPB"	0	0
"CEBPD"	0	0
"CEBPE"	0	0
"CEBPG"	0	0
"CEBPZ"	0	3
"CECR2"	2	0
"CELSR1"	2	0
"CELSR2"	1	0
"CELSR3"	0	0
"CENPF"	0	1
"CENPI"	0	1
"CENPK"	0	1
"CENPU"	0	2
"CEP57"	0	1
"CEP63"	0	3
"CERK"	0	0
"CERS2"	1	1
"CERS4"	1	0
"CERS6"	0	3
"CFL1"	0	0
"CFLAR"	0	0
"CGA"	0	0
"CHAF1B"	0	1
"CHD2"	0	0
"CHD3"	0	0
"CHD4"	0	0
"CHD6"	0	1
"CHD7"	1	1
"CHEK1"	0	1
"CHEK2"	0	1
"CHIC2"	0	0
"CHKA"	1	0
"CHMP5"	0	3
"CHN1"	0	0
"CHRDL1"	0	0
"CHRNA5"	0	0
"CHRNE"	0	0
"CHRNG"	0	0
"CHST11"	0	0
"CHUK"	0	2
"CHURC1"	0	0
"CIAO1"	0	2
"CIITA"	0	0
"CISH"	0	0
"CIT"	1	0
"CITED2"	0	0
"CKS1B"	0	3
"CKS2"	0	1
"CLDN3"	0	1
"CLDN4"	1	1
"CLEC1A"	0	0
"CLEC2D"	0	0
"CLEC4A"	0	0
"CLEC5A"	0	0
"CLEC7A"	0	0
"CLIC2"	0	0
"CLIC3"	0	0
"CLN3"	0	0
"CLP1"	0	0
"CLTC"	0	4
"CLU"	0	0
"CMKLR1"	0	0
"CNBP"	0	2
"CNGA3"	0	0
"CNIH2"	0	0
"CNIH4"	0	0
"CNKSR1"	2	1
"CNKSR2"	1	0
"CNOT1"	1	0
"CNOT3"	0	0
"CNOT4"	0	1
"CNOT6"	0	3
"CNOT7"	0	1
"CNOT9"	0	1
"CNTLN"	0	0
"CNTN6"	0	0
"CNTNAP1"	0	0
"COL1A1"	0	0
"COL4A3BP"	0	0
"COLEC12"	0	0
"COMMD7"	0	0
"COPRS"	0	0
"COPS2"	0	2
"COPS5"	0	6
"CORO1C"	0	0
"CORO2A"	2	0
"CPE"	0	0
"CPLANE2"	1	0
"CR1"	0	0
"CRABP1"	0	0
"CRABP2"	0	0
"CREB3"	0	0
"CREB3L1"	0	0
"CREB3L3"	0	0
"CREB3L4"	1	1
"CREBBP"	1	0
"CREBL2"	0	0
"CREBZF"	0	2
"CREG1"	0	0
"CREM"	0	1
"CRIPAK"	0	0
"CRKL"	0	0
"CRLF2"	0	0
"CRTC1"	0	0
"CRTC3"	0	0
"CRY1"	0	0
"CRY2"	1	0
"CRYAB"	0	0
"CRYM"	2	0
"CSF1"	0	0
"CSF1R"	0	0
"CSF2RB"	0	0
"CSF3R"	0	0
"CSK"	0	0
"CSNK1A1"	0	1
"CSNK1D"	0	0
"CSNK1G3"	0	3
"CSRNP1"	0	0
"CSRNP3"	0	0
"CTBP1"	0	0
"CTBP2"	0	1
"CTCF"	0	0
"CTGF"	0	0
"CTNNA1"	0	0
"CTNNAL1"	0	1
"CTNNBIP1"	3	0
"CTNND1"	0	0
"CTNND2"	0	0
"CTSH"	0	0
"CUL3"	0	3
"CUX1"	0	0
"CUX2"	0	0
"CX3CL1"	0	0
"CX3CR1"	0	0
"CXCL10"	0	0
"CXCL14"	1	0
"CXCL16"	0	0
"CXCL2"	0	0
"CXCL3"	0	0
"CXCR2"	0	0
"CXCR3"	0	0
"CXCR4"	0	0
"CXCR5"	0	0
"CXCR6"	0	0
"CXXC4"	0	0
"CXXC5"	1	0
"CYCS"	0	3
"CYLD"	0	0
"CYP26A1"	0	0
"CYP26B1"	0	0
"CYSLTR1"	0	0
"CYTH1"	0	0
"CYTH2"	0	0
"CYTH3"	0	0
"CYTH4"	0	0
"CYTL1"	0	0
"DAB2IP"	1	0
"DACH1"	0	0
"DACH2"	0	0
"DACT1"	0	0
"DAP3"	1	4
"DAPK1"	0	0
"DAPK2"	0	0
"DAPP1"	0	0
"DCAF6"	2	1
"DCC"	0	0
"DCLK1"	0	0
"DCLK2"	0	0
"DCX"	0	0
"DDAH1"	3	1
"DDAH2"	0	0
"DDIT3"	0	0
"DDR1"	1	0
"DDR2"	0	0
"DDX1"	0	6
"DDX10"	0	2
"DDX5"	0	0
"DDX54"	0	0
"DDX6"	0	1
"DEAF1"	1	0
"DEDD"	0	1
"DEF8"	0	0
"DEK"	0	4
"DENND4A"	0	0
"DEPDC1"	0	2
"DEPDC1B"	0	1
"DEPDC7"	0	1
"DEPTOR"	2	0
"DERL3"	0	0
