"CTL"	"dysfunction"
"ASH1L"	0	0
"ASH2L"	0	0
"ASIC2"	0	2
"ASIP"	0	0
"ASMTL"	0	0
"ASXL1"	0	0
"ATAD2"	0	0
"ATF4"	1	0
"ATF5"	2	0
"ATF6"	0	0
"ATF6B"	0	0
"ATF7"	0	0
"ATF7IP"	0	0
"ATG10"	0	0
"ATG5"	0	0
"ATIC"	0	0
"ATOH1"	0	0
"ATOH7"	0	0
"ATOH8"	0	0
"ATP2A2"	0	0
"ATP2C1"	0	0
"ATP8B1"	0	0
"ATRNL1"	0	0
"ATRX"	0	0
"ATXN1"	0	1
"ATXN3"	0	0
"ATXN7"	0	1
"ATXN7L3"	0	0
"AURKA"	0	0
"AURKB"	0	0
"AVPR1A"	0	0
"AXIN1"	0	0
"AXIN2"	0	0
"AXL"	1	1
"AZI2"	0	0
"B2M"	1	1
"BACH1"	1	0
"BACH2"	1	2
"BAIAP2"	0	0
"BAIAP2L1"	0	0
"BAIAP3"	0	1
"BAK1"	0	0
"BAMBI"	0	0
"BANP"	0	0
"BARD1"	0	0
"BARHL1"	0	0
"BARX2"	0	0
"BASP1"	2	0
"BATF"	1	1
"BATF2"	4	0
"BATF3"	2	0
"BAX"	0	0
"BAZ1B"	0	0
"BAZ2B"	0	0
"BCAM"	0	0
"BCAR3"	1	1
"BCKDK"	0	0
"BCL10"	0	0
"BCL11A"	0	0
"BCL11B"	1	0
"BCL2"	1	1
"BCL2L13"	0	0
"BCL6B"	0	1
"BCL7A"	0	0
"BCL9"	0	0
"BCLAF1"	0	0
"BCOR"	0	0
"BCORL1"	0	0
"BCR"	0	0
"BEX3"	0	0
"BHLHE22"	0	1
"BHLHE40"	0	0
"BHLHE41"	2	1
"BIRC2"	0	0
"BIRC3"	2	0
"BIRC7"	0	0
"BLK"	1	2
"BLM"	0	0
"BLNK"	1	0
"BLOC1S2"	0	0
"BLZF1"	0	0
"BMP2"	0	0
"BMP3"	0	0
"BMP4"	0	0
"BMP6"	1	1
"BMPR1A"	0	0
"BNC1"	0	0
"BNIP3"	0	0
"BPTF"	0	0
"BRCA1"	0	0
"BRCC3"	0	0
"BRD7"	0	0
"BRD8"	0	0
"BRDT"	0	0
"BRIP1"	0	0
"BRMS1L"	0	0
"BRSK1"	0	0
"BRWD1"	0	0
"BST2"	1	0
"BTF3"	0	0
"BTG1"	0	0
"BTG2"	0	0
"BTK"	6	6
"BTLA"	2	1
"BTRC"	0	0
"BUB1B"	0	0
"BUD31"	0	0
"C1D"	0	0
"C1QBP"	0	0
"C2CD3"	0	0
"C3AR1"	5	0
"C5AR1"	4	2
"C5AR2"	0	0
"CA8"	0	0
"CABIN1"	0	0
"CABP2"	0	0
"CABYR"	0	0
"CACNA1A"	1	0
"CACNB3"	0	0
"CAD"	0	0
"CALCOCO1"	0	1
"CALCR"	0	0
"CALCRL"	0	0
"CALM3"	0	0
"CALML5"	1	0
"CALR"	0	0
"CAMK1"	0	1
"CAMK4"	0	0
"CAMLG"	0	0
"CAMTA1"	0	0
"CAND1"	0	0
"CAND2"	0	0
"CANT1"	0	0
"CAP1"	0	0
"CAP2"	0	0
"CAPN3"	0	1
"CAPN5"	0	0
"CAPS"	0	0
"CARD10"	0	0
"CARD14"	0	0
"CARD8"	2	3
"CARHSP1"	0	0
"CARS"	0	0
"CASK"	0	0
"CASKIN1"	0	0
"CASP1"	1	0
"CASP10"	1	1
"CASP2"	0	0
"CASP3"	0	0
"CASP7"	0	0
"CASP8"	0	0
"CASP8AP2"	0	0
"CASP9"	0	0
"CASR"	0	2
"CASS4"	0	3
"CASZ1"	0	0
"CAT"	0	0
"CAV1"	0	1
"CAV2"	0	1
"CAVIN1"	0	1
"CAVIN4"	0	0
"CBFA2T2"	0	0
"CBFA2T3"	0	3
"CBFB"	0	0
"CBLB"	0	0
"CBX2"	0	0
"CBX3"	0	0
"CBX5"	0	0
"CBX7"	0	2
"CBX8"	0	0
"CBY1"	0	0
"CCAR1"	0	0
"CCDC47"	0	0
"CCDC59"	0	0
"CCDC85B"	1	1
"CCDC88C"	0	0
"CCL13"	0	0
"CCL16"	0	0
"CCL18"	2	0
"CCL2"	1	0
"CCL24"	1	3
"CCL25"	0	1
"CCL26"	0	0
"CCL28"	0	0
"CCL5"	6	4
"CCL8"	5	0
"CCM2"	1	0
"CCN4"	0	0
"CCNA2"	0	0
"CCNC"	0	0
"CCND1"	0	0
"CCND2"	5	2
"CCND3"	0	2
"CCNE1"	0	0
"CCNH"	0	0
"CCNL1"	0	0
"CCNL2"	0	0
"CCNT1"	0	0
"CCNT2"	0	0
"CCR1"	5	1
"CCR10"	0	1
"CCR2"	2	0
"CCR4"	0	3
"CCR5"	6	3
"CCR6"	1	0
"CCR7"	5	5
"CCR9"	0	0
"CCRL2"	2	2
"CCT6B"	0	0
"CD101"	0	2
"CD14"	5	0
"CD160"	1	1
"CD19"	3	3
"CD2"	6	4
"CD209"	3	3
"CD22"	1	5
"CD226"	1	0
"CD24"	0	0
"CD244"	1	4
"CD247"	5	5
"CD27"	3	3
"CD274"	4	0
"CD28"	3	0
"CD2AP"	0	0
"CD300C"	2	3
"CD33"	2	4
"CD34"	0	1
"CD36"	0	1
"CD38"	2	0
"CD3D"	6	4
"CD3E"	3	3
"CD3EAP"	0	0
"CD4"	4	5
"CD40"	3	1
"CD44"	0	0
"CD48"	6	5
"CD5"	1	2
"CD53"	6	2
"CD58"	0	0
"CD59"	0	0
"CD69"	1	0
"CD7"	2	2
"CD70"	2	2
"CD72"	4	2
"CD74"	1	1
"CD79A"	1	2
"CD79B"	3	5
"CD80"	1	0
"CD81"	1	1
"CD83"	1	1
"CD86"	6	0
"CD8A"	5	2
"CD8B"	2	1
"CDA"	0	0
"CDC42BPA"	0	0
"CDC42BPB"	0	0
"CDC42BPG"	0	0
"CDC42EP1"	0	0
"CDC42EP4"	0	0
"CDC42EP5"	0	0
"CDC42SE1"	0	0
"CDC42SE2"	0	0
"CDC5L"	0	0
"CDC73"	0	0
"CDCA7"	0	0
"CDCA7L"	0	0
"CDH1"	0	0
"CDH2"	0	0
"CDK12"	0	0
"CDK18"	0	0
"CDK2"	0	0
"CDK4"	0	0
"CDK6"	0	1
"CDK7"	0	0
