"Chen2"	"Lu1"	"Tomida1_a"
"FUT8"	1	1	0
"FZD10"	2	1	2
"FZD2"	1	0	1
"FZD7"	1	1	0
"G3BP1"	3	0	1
"G3BP2"	1	1	0
"GABPB1"	3	2	3
"GABRQ"	1	1	1
"GAL"	1	4	2
"GATAD2A"	0	1	0
"GBX2"	1	1	1
"GCLC"	1	1	1
"GGCT"	4	3	3
"GID4"	1	2	1
"GIT1"	0	1	0
"GLIS1"	0	1	0
"GLMP"	2	1	2
"GLRX2"	5	3	5
"GMFB"	2	1	1
"GMNN"	6	2	5
"GMPS"	6	6	5
"GNAI3"	2	0	0
"GNAS"	1	0	0
"GNB1"	2	3	1
"GNB1L"	0	1	0
"GNB2"	0	1	0
"GNB5"	0	2	0
"GNG4"	3	3	3
"GOLT1B"	4	3	1
"GPR158"	1	0	0
"GPR19"	2	1	0
"GPR37"	1	1	0
"GPR84"	1	0	1
"GPR87"	0	1	0
"GPS1"	0	1	0
"GPSM2"	1	0	1
"GREM1"	1	0	0
"GRHL3"	0	1	0
"GRIN3A"	1	0	0
"GSK3B"	1	1	1
"GTF2A1"	1	0	0
"GTF2A2"	2	1	3
"GTF2E1"	3	0	1
"GTF2E2"	4	1	4
"GTF2H3"	1	0	0
"GTF2H4"	1	0	1
"GTF2IRD1"	2	3	2
"GTSE1"	6	6	6
"GUCA1A"	2	2	1
"H2AFX"	7	7	5
"HACD3"	0	0	1
"HASPIN"	4	4	3
"HAT1"	4	0	2
"HCAR3"	0	2	1
"HCFC1"	0	1	0
"HDAC1"	3	3	3
"HDAC2"	5	2	2
"HDGF"	7	7	5
"HELLS"	7	4	7
"HEXIM1"	1	0	0
"HEY1"	0	0	1
"HIC2"	0	1	0
"HIF1A"	1	1	0
"HINFP"	0	0	1
"HIRA"	0	0	1
"HIST1H1D"	0	1	0
"HIST1H2AM"	0	1	1
"HLTF"	4	0	2
"HMGA1"	7	7	7
"HMGA2"	1	1	1
"HMGB1"	1	0	1
"HMGB2"	6	1	2
"HMGN1"	0	0	1
"HMGXB4"	1	0	0
"HMX2"	1	1	1
"HNRNPAB"	3	2	4
"HNRNPD"	0	1	0
"HOMER3"	0	2	0
"HOMEZ"	1	0	1
"HOXA1"	2	4	1
"HOXA10"	1	2	2
"HOXA11"	1	1	1
"HOXB13"	0	1	0
"HOXB7"	1	1	1
"HOXB9"	0	1	0
"HOXC13"	0	2	1
"HOXC4"	0	1	0
"HOXC8"	0	1	1
"HOXD10"	1	2	2
"HOXD11"	2	3	3
"HOXD13"	1	2	2
"HRAS"	2	3	2
"HSBP1"	1	0	1
"HSF1"	0	2	0
"HSP90AA1"	1	0	1
"HSP90AB1"	0	1	1
"HSPA5"	0	1	0
"HSPB1"	0	1	0
"HSPD1"	3	2	3
"HSPE1"	7	4	7
"HTR2C"	1	0	0
"HTR3A"	1	1	1
"HTR7"	1	0	0
"HUS1"	2	1	2
"ICMT"	1	2	1
"IDE"	1	1	1
"IDH2"	4	4	3
"IGF1R"	0	1	0
"IGFBP2"	0	1	0
"IGFBP3"	1	0	0
"IKBKE"	1	0	1
"IL11"	0	1	1
"IL12RB2"	1	1	1
"IL1RAP"	2	1	1
"IL1RL2"	0	0	1
"IL20RB"	0	1	0
"IL22RA1"	1	1	0
"ILF2"	4	2	5
"ILF3"	1	0	0
"INPP4B"	0	1	0
"INVS"	2	2	3
"IQGAP3"	5	5	5
"IRAK1"	4	5	2
"IRF3"	0	0	1
"IRF6"	0	2	0
"IRX4"	0	1	0
"ISL2"	1	2	1
"ITGB1"	1	1	0
"ITGB1BP1"	1	1	1
"ITGB3BP"	1	0	0
"ITGB4"	0	2	0
"ITPKA"	0	1	0
"JAG1"	0	1	0
"JAG2"	1	3	2
"JARID2"	3	2	2
"JMJD6"	1	0	1
"JUP"	1	3	0
"KAT2A"	0	1	0
"KCTD1"	0	1	0
"KDM1A"	0	2	2
"KDM2B"	1	1	0
"KDM3A"	0	1	0
"KDM5B"	1	1	2
"KEAP1"	0	2	0
"KHDRBS1"	1	0	1
"KLF5"	0	1	1
"KLF7"	1	1	0
"KLHL12"	1	0	2
"KMT5A"	4	4	4
"KREMEN1"	1	1	1
"KREMEN2"	0	1	0
"LANCL1"	0	1	1
"LANCL2"	2	4	2
"LHX2"	2	2	2
"LHX5"	0	1	0
"LIMK1"	1	1	0
"LIN28B"	1	1	0
"LIN54"	1	0	0
"LMO4"	0	1	1
"LPAR3"	2	2	2
"LRP12"	1	1	1
"LRP8"	2	3	3
"LRPPRC"	2	1	2
"LTB4R"	1	0	0
"LTBR"	2	4	1
"MAFG"	0	2	0
"MAMSTR"	0	2	1
"MAP2K6"	2	1	0
"MAP4K2"	0	2	0
"MAPK1"	0	1	0
"MAPK12"	2	2	0
"MAPK13"	1	1	0
"MAPK6"	2	1	0
"MAPKAPK2"	1	0	1
"MAPKAPK5"	4	2	4
"MARK1"	1	1	3
"MAST1"	0	0	1
"MAZ"	1	2	0
"MBD1"	0	1	0
"MBD3"	0	1	0
"MC1R"	1	1	1
"MCF2L2"	1	1	1
"MCHR1"	0	1	0
"MCM2"	7	7	6
"MCM3"	6	5	5
"MCM4"	7	7	7
"MCM5"	4	4	2
"MCM6"	7	5	7
"MCM7"	6	6	7
"MCM8"	4	2	4
"MCTS1"	4	3	4
"MDC1"	1	0	0
"MED10"	3	1	2
"MED14"	3	1	2
"MED20"	2	2	2
"MED25"	0	1	0
"MED27"	2	3	2
"MED28"	2	0	2
"MED30"	1	0	1
"MED6"	1	0	0
"MED8"	2	1	2
"MEN1"	1	1	1
"MESD"	1	1	1
"MIB1"	1	0	1
"MIF"	5	5	4
"MKI67"	7	6	7
"MKLN1"	1	0	1
"MLX"	0	0	1
"MMP14"	1	1	1
"MNAT1"	1	0	3
"MORC2"	1	1	2
"MORC4"	1	0	0
"MORF4L2"	1	0	1
"MOV10"	0	0	1
"MPP2"	1	1	0
"MPZL1"	2	2	2
"MRE11"	2	0	1
"MRPL12"	7	5	3
"MRPL28"	0	1	0
"MRRF"	1	0	1
"MSH2"	4	3	5
"MSH6"	4	1	2
"MSI2"	1	1	1
"MTA2"	2	2	2
"MTA3"	2	3	3
"MTF2"	1	0	0
"MXD1"	1	1	1
"MYB"	2	0	1
"MYBL1"	1	0	1
"MYBL2"	7	7	6
"MYC"	2	3	2
"MYNN"	2	1	1
"MYPOP"	1	2	1
"NAA15"	2	2	2
"NAE1"	2	0	1
"NAMPT"	0	1	0
"NBN"	2	0	0
"NCK2"	0	1	0
"NCLN"	0	1	0
"NCOA3"	1	0	0
"NCOA6"	1	0	0
"NCS1"	0	2	0
"NDC80"	7	5	7
"NDFIP2"	0	1	0
"NDRG1"	0	3	1
"NECTIN2"	0	1	0
"NEDD8"	1	1	0
"NEK6"	1	1	1
"NELFB"	1	1	0
"NELFCD"	4	2	4
"NEO1"	0	1	0
"NET1"	0	1	0
"NF2"	1	1	1
"NFATC2IP"	1	0	0
"NFE2L1"	0	2	0
"NFXL1"	2	1	1
"NFYA"	2	1	2
"NFYB"	1	0	1
"NGEF"	1	2	0
"NIF3L1"	4	1	2
"NKIRAS2"	3	4	2
"NKRF"	3	0	2
"NLE1"	1	1	2
"NLK"	1	1	1
"NOCT"	3	2	0
"NOLC1"	5	5	5
"NONO"	3	1	3
"NPM1"	2	1	2
"NRAS"	5	2	3
"NRG1"	0	1	1
"NRIP1"	1	0	0
"NSD2"	6	5	5
"NSD3"	1	0	0
"NTRK2"	1	1	1
"NTS"	0	1	1
"NUFIP1"	2	0	2
"NUP62"	3	3	2
"NUP93"	3	2	2
"NUP98"	2	1	1
"ONECUT1"	0	0	1
"OR1F1"	1	1	1
"OR51E1"	2	3	2
"ORC2"	2	1	5
"OSMR"	1	1	1
"OVOL1"	0	1	1
"P2RY1"	0	1	0
"P2RY6"	1	2	2
"PA2G4"	2	3	2
"PAFAH1B2"	3	2	2
"PAK1"	3	4	3
"PAK1IP1"	4	1	3
"PAK2"	3	5	4
"PALB2"	2	1	2
"PARD3"	2	2	2
"PARP1"	5	3	4
"PAWR"	5	1	4
"PAX6"	1	1	1
"PAX9"	1	1	2
"PCBD2"	1	0	1
"PCBP1"	0	1	0
"PCGF6"	2	0	2
"PCNA"	6	4	4
"PCSK9"	1	1	1
"PDAP1"	2	3	3
"PDCD11"	1	3	2
"PDK1"	1	1	0
"PGBD1"	2	0	0
"PHB"	7	5	5
"PHB2"	2	4	3
"PHF10"	1	0	0
"PHF19"	3	3	2
"PHF20"	1	0	1
"PHF5A"	1	1	1
"PHIP"	1	0	0
"PHTF1"	0	1	1
"PHTF2"	2	1	1
"PIAS2"	1	1	2
"PIGU"	1	1	1
"PIN1"	0	1	0
"PIR"	0	1	1
"PITPNM1"	0	1	0
"PITX1"	0	4	0
"PITX2"	0	0	1
"PKNOX1"	1	1	0
"PKP1"	0	2	0
"PLAGL2"	2	1	1
"PLCH2"	0	1	0
"PLD1"	0	1	0
"PLEK2"	1	2	1
"PLEKHG4"	0	1	1
"PLEKHG6"	1	4	1
"PLP2"	1	3	3
"PLRG1"	1	0	1
"PLXNA1"	0	1	0
"PMAIP1"	3	1	2
"POFUT1"	3	4	2
"POLD1"	1	3	1
"POLE"	3	3	3
"POLR2I"	0	1	1
"POLR3C"	1	0	1
"POLR3F"	1	0	0
"POLR3G"	4	1	4
"PORCN"	0	1	0
"POT1"	1	0	0
"PPFIA1"	4	1	3
"PPIE"	0	1	1
"PPP2R1A"	0	1	0
"PPP3CB"	1	0	0
"PPP4C"	1	2	1
"PPP5C"	0	1	1
"PPRC1"	0	1	1
"PRAME"	3	4	4
"PRDM4"	0	1	0
"PRDX1"	0	0	1
"PRDX2"	0	1	0
"PRDX3"	0	0	1
"PRDX4"	2	2	0
"PREB"	5	6	3
"PRKACA"	1	1	0
"PRKDC"	4	1	4
"PRMT1"	3	4	3
"PRMT5"	4	4	3
"PRRX2"	0	1	0
"PSMC3"	2	2	0
"PSMC3IP"	5	4	4
"PSMC5"	4	3	3
"PSMD9"	1	2	0
"PSRC1"	6	6	6
"PTGES"	1	1	1
"PTGES2"	1	3	2
"PTGES3"	5	1	2
"PTH2R"	1	0	1
"PTHLH"	1	3	1
"PTK2"	2	1	1
"PTN"	1	0	0
"PTPN11"	0	0	1
"PTPRF"	0	1	0
"PTPRZ1"	0	1	0
"PTTG1"	7	7	7
"PUF60"	1	3	1
"PYGO2"	0	0	1
"RAB10"	5	4	3
"RAB22A"	2	2	1
"RAB27A"	1	1	1
"RAB35"	0	2	1
"RAB3B"	2	4	2
"RAB5C"	1	1	1
"RAB6B"	2	1	3
"RAB7A"	1	1	1
"RABIF"	2	3	2
"RABL3"	2	1	3
"RAC3"	1	1	0
"RACGAP1"	7	7	7
"RAD1"	1	0	1
"RAD51"	7	7	7
"RALA"	5	3	4
"RALGAPB"	3	0	2
"RALGPS2"	1	1	0
"RAN"	6	5	5
"RANBP1"	7	6	7
"RANGAP1"	3	4	2
"RAPGEFL1"	0	2	0
"RASAL1"	0	2	1
"RASL10B"	0	1	0
"RBBP7"	3	0	2
"RBBP8"	3	1	2
"RBCK1"	1	1	1
"RBFOX2"	0	0	1
"RBL1"	4	0	1
"RBM10"	1	1	1
"RBM15"	2	0	1
"RBM38"	1	1	1
"RC3H1"	1	1	1
"RC3H2"	1	1	1
"RCAN3"	1	0	0
"RCOR2"	2	3	2
"RCOR3"	0	1	1
"RELA"	1	0	0
"REXO4"	1	0	1
"RFC4"	7	7	7
"RGS20"	2	2	1
"RHBDL2"	1	1	0
"RHEBL1"	1	1	0
"RHOD"	1	1	1
"RHOF"	0	1	0
"RHOV"	0	3	0
"RHPN2"	1	2	1
"RIC8B"	0	0	1
"RINT1"	1	0	1
"RIPK2"	2	1	2
"RIT1"	1	0	1
"RNF138"	1	0	0
"RNF141"	1	1	1
"RNF2"	1	0	0
"RPL6"	0	0	1
"RPL7"	0	0	1
"RPL7L1"	0	0	1
"RPN1"	2	1	1
"RPS3"	0	0	1
"RPS6KB1"	3	1	3
"RPS6KB2"	0	1	1
"RPS6KC1"	2	0	1
"RTKN"	1	2	2
"RUNDC3A"	1	0	1
"RUSC1"	0	0	1
"RUVBL1"	6	7	5
"RUVBL2"	3	4	2
"RXRA"	0	1	1
"RYK"	1	0	0
"S100A11"	1	2	1
"S1PR5"	0	1	0
"SALL4"	1	1	1
"SAP130"	1	2	1
"SAP30"	4	0	1
"SATB2"	0	0	1
"SBNO2"	0	1	0
"SCAND1"	1	0	0
"SCARB1"	1	2	1
"SCG5"	3	1	2
"SCML2"	2	0	2
"SCYL1"	1	1	0
"SDHB"	1	1	0
"SENP2"	1	0	2
"SET"	2	0	2
"SETD3"	0	0	1
"SFN"	1	3	0
"SGPL1"	4	4	4
"SH3GL1"	0	3	0
"SHC1"	0	1	1
"SHOX2"	3	3	3
"SIAH2"	2	3	2
"SIM2"	1	1	1
"SIPA1"	1	0	1
