"EMT"	"signature"
"NKX3-2"	4	1
"NLRP1"	0	1
"NOD2"	1	1
"NOS3"	0	1
"NOTCH2"	1	1
"NOTCH3"	2	1
"NOTCH4"	0	5
"NPAS2"	1	0
"NPAS3"	1	1
"NPAS4"	0	1
"NPR2"	2	2
"NPR3"	1	0
"NR2F2"	1	2
"NR5A2"	0	1
"NRBF2"	1	0
"NRK"	3	1
"NTF3"	3	2
"NXN"	0	1
"OMD"	6	3
"OPCML"	1	1
"OPTN"	1	2
"OR51E1"	2	1
"OR51E2"	1	1
"OSM"	2	1
"OSMR"	2	0
"P2RY1"	1	1
"P2RY13"	0	1
"P2RY14"	0	1
"PAK3"	1	0
"PDE10A"	2	2
"PDE1A"	2	2
"PDE2A"	1	3
"PDE3A"	2	1
"PDE4A"	0	1
"PDE4B"	3	0
"PDE5A"	1	3
"PDGFB"	2	4
"PDGFC"	3	1
"PDGFRA"	7	5
"PDGFRB"	7	6
"PDLIM1"	1	1
"PDPN"	7	5
"PECAM1"	2	3
"PEG3"	3	2
"PGR"	0	1
"PICALM"	1	0
"PIK3CD"	0	2
"PIK3R1"	0	1
"PILRA"	0	1
"PIM1"	6	3
"PKD2"	5	4
"PKD2L1"	0	1
"PKIA"	1	1
"PKIG"	4	5
"PKNOX2"	0	3
"PLAGL1"	3	2
"PLAT"	5	3
"PLCD3"	2	2
"PLCL1"	0	1
"PLCL2"	0	1
"PLEK"	0	1
"PLEKHG1"	2	1
"PLEKHG2"	1	0
"PLEKHG3"	1	0
"PLEKHM1"	1	0
"PLK2"	5	3
"PLP2"	1	0
"PLPP1"	4	3
"PLPP3"	1	4
"PLXNA1"	2	1
"PLXNA4"	1	2
"PLXNC1"	3	0
"PLXND1"	1	3
"PMAIP1"	1	0
"PMEPA1"	5	3
"PML"	1	2
"PNRC1"	0	3
"POU2F2"	1	0
"PPARD"	1	0
"PPARG"	0	1
"PPIC"	1	0
"PPP1R12A"	1	1
"PPP1R15A"	0	1
"PPP2R2B"	1	1
"PPP2R5A"	0	1
"PPP2R5B"	0	2
"PRDM1"	4	1
"PRDM2"	0	2
"PRDM5"	0	1
"PRDM6"	1	3
"PREX1"	0	2
"PRKACA"	0	2
"PRKCA"	0	1
"PRKCH"	0	1
"PRKD1"	3	2
"PRKG1"	3	3
"PRRX1"	7	4
"PRRX2"	3	1
"PSMD9"	0	1
"PSTPIP1"	0	1
"PTAFR"	0	2
"PTEN"	1	1
"PTGDR"	2	2
"PTGER2"	1	0
"PTGER3"	2	2
"PTGER4"	1	3
"PTGFR"	0	1
"PTGIR"	3	3
"PTGIS"	7	5
"PTHLH"	2	0
"PTPRD"	5	4
"PTPRG"	2	1
"PTPRM"	1	3
"PURA"	1	0
"PXN"	0	1
"QKI"	1	3
"RAB23"	1	3
"RAB31"	6	3
"RAB32"	3	4
"RAB33A"	1	1
"RAB3B"	1	0
"RAB42"	0	1
"RAB7A"	1	0
"RAB8A"	1	2
"RAB8B"	2	0
"RAC2"	1	2
"RALB"	2	0
"RALGDS"	0	1
"RAMP1"	1	0
"RAP1A"	0	1
"RAP1B"	1	0
"RAP2A"	2	1
"RAP2B"	1	0
"RARA"	1	1
"RARB"	3	2
"RASA3"	3	4
"RASAL2"	1	0
"RASD2"	2	1
"RASGRF2"	4	0
"RASGRP1"	0	1
"RASGRP2"	0	1
"RASGRP3"	1	0
"RASIP1"	0	4
"RASL10A"	1	0
"RASL11B"	1	1
"RASL12"	2	5
"RASSF1"	0	2
"RASSF2"	1	1
"RASSF4"	0	1
"RASSF8"	1	1
"RB1"	0	1
"RCAN1"	1	1
"RCAN2"	0	2
"RELB"	3	3
"RELN"	0	1
"REN"	1	0
"RFX2"	0	1
"RFX8"	1	1
"RGL1"	0	2
"RGL2"	0	1
"RGS1"	2	1
"RGS10"	3	0
"RGS13"	0	1
"RGS16"	1	1
"RGS19"	2	3
"RGS2"	4	1
"RGS3"	4	4
"RGS4"	6	4
"RHOG"	1	4
"RHOJ"	1	3
"RHOQ"	0	1
"RIN2"	2	1
"RIN3"	0	1
"RND3"	2	2
"ROBO1"	5	2
"ROR1"	2	4
"ROR2"	6	4
"RP1L1"	0	1
"RPS6KA4"	0	1
"RRAS"	2	4
"RSU1"	2	2
"RTL3"	1	1
"RUNX1T1"	4	4
"RUNX2"	4	1
"RUNX3"	0	2
"RXFP1"	0	1
"RYBP"	1	0
"S1PR1"	0	2
"S1PR3"	5	3
"SAP30"	1	0
"SCARF1"	0	1
"SCG2"	2	0
"SCG5"	2	2
"SEC31A"	1	0
"SERPINB9"	1	0
"SERTAD1"	1	0
"SERTAD2"	1	0
"SETBP1"	0	2
"SGK1"	2	1
"SH2B3"	3	7
"SH2D3C"	1	3
"SH3BP2"	1	1
"SH3BP5"	0	1
"SH3GL1"	1	1
"SHC4"	1	1
"SHISA5"	0	1
"SHOX2"	1	0
"SIGLEC9"	0	1
"SIPA1"	0	2
"SIRPB1"	0	1
"SKAP2"	1	0
"SKI"	0	3
"SKIL"	1	0
"SLA"	0	1
"SLC11A1"	1	1
"SLC22A17"	1	2
"SLC44A2"	0	1
"SLIT2"	3	5
"SMAD1"	1	0
"SMAD6"	0	1
"SMAD7"	2	2
"SMARCD3"	0	2
"SMO"	0	1
"SMOC1"	1	0
"SMOC2"	2	1
"SMPD1"	0	2
"SNAI1"	3	2
"SNAI2"	6	5
"SNCA"	0	3
"SNCAIP"	0	1
"SOCS1"	1	1
"SOCS2"	0	1
"SOCS3"	3	2
"SOD2"	1	0
"SORBS1"	0	1
"SORBS3"	0	1
"SOX11"	2	0
"SOX17"	0	4
