"Chen2"	"Lu1"	"Tomida1_a"
"FGF14"	2	0	1
"FGF18"	3	1	3
"FGF2"	2	2	3
"FGF7"	1	0	1
"FGF9"	1	2	1
"FGFR1"	0	1	1
"FGFR2"	3	3	3
"FGFR3"	1	1	1
"FGFR4"	3	2	3
"FGG"	0	0	1
"FHIT"	1	0	1
"FHL5"	6	4	7
"FLI1"	1	3	3
"FLRT3"	4	5	5
"FNBP1"	1	1	1
"FOS"	1	1	2
"FOSB"	0	0	2
"FOXA2"	4	4	5
"FOXF1"	3	1	7
"FOXF2"	3	2	3
"FOXJ1"	0	0	1
"FOXJ2"	1	0	0
"FOXN3"	1	2	1
"FOXO1"	2	0	2
"FOXO3"	1	1	2
"FOXO4"	1	0	1
"FOXP1"	3	2	3
"FOXQ1"	2	0	1
"FRAT1"	2	0	1
"FRY"	6	6	6
"FSTL1"	1	1	1
"FZD4"	3	3	4
"GAB1"	2	4	4
"GAB2"	3	2	3
"GABBR1"	1	0	0
"GABPA"	1	0	0
"GABPB2"	1	2	1
"GABRB3"	1	0	1
"GADD45B"	2	0	2
"GARNL3"	1	2	2
"GAS7"	0	0	2
"GATA1"	1	1	1
"GATA2"	1	1	2
"GATA5"	3	2	3
"GATA6"	5	3	5
"GATAD2B"	2	1	0
"GDF2"	1	0	1
"GDF7"	1	1	0
"GEM"	2	0	0
"GFI1B"	1	1	1
"GFRA1"	5	4	5
"GFRA2"	1	1	1
"GHR"	3	1	3
"GID4"	1	1	1
"GIPR"	1	0	0
"GKAP1"	0	1	0
"GLI1"	1	0	1
"GLIS2"	1	0	0
"GNA14"	3	4	4
"GNAQ"	3	3	3
"GNG11"	3	3	4
"GNG2"	0	1	0
"GNG7"	6	4	5
"GNL1"	2	1	1
"GNRHR2"	1	0	0
"GPAT3"	1	0	0
"GPBP1"	0	2	0
"GPC3"	3	3	3
"GPR146"	2	1	3
"GPR153"	0	0	1
"GPR160"	0	0	1
"GPR17"	1	0	0
"GPR20"	1	1	2
"GPR39"	1	2	2
"GPR4"	1	0	0
"GPRC5A"	4	2	3
"GPRC5C"	1	0	2
"GPSM3"	2	0	1
"GRHL3"	1	0	1
"GRIA1"	5	3	4
"GRK3"	1	2	1
"GRK5"	2	1	3
"GRN"	1	0	1
"GSK3B"	2	1	1
"GSN"	0	1	2
"GSPT1"	0	1	0
"GTF2H5"	1	1	1
"GTF2IRD2"	2	1	2
"GTF2IRD2B"	2	1	1
"GUCY1A1"	3	4	3
"GUCY1A2"	3	3	3
"GUCY1B1"	0	0	1
"HABP4"	1	1	2
"HAND1"	1	1	1
"HBS1L"	0	1	0
"HCFC2"	1	3	1
"HDAC11"	2	0	1
"HDAC5"	1	0	0
"HEXIM1"	1	0	0
"HEYL"	3	0	2
"HGF"	4	3	4
"HHEX"	0	1	0
"HHIP"	2	2	4
"HIF3A"	1	1	1
"HIP1"	2	4	3
"HIVEP3"	1	2	1
"HLA-DOA"	1	0	1
"HLA-DOB"	2	0	1
"HLF"	4	6	5
"HLX"	1	1	3
"HMBOX1"	1	1	1
"HMG20A"	1	0	1
"HMGB1"	1	1	1
"HMGN5"	1	1	1
"HNF1B"	5	3	3
"HNRNPDL"	2	1	0
"HOPX"	4	5	4
"HOXA5"	3	0	5
"HOXA7"	1	1	1
"HOXD1"	1	4	1
"HPGD"	4	5	4
"HPGDS"	6	4	6
"HSFX2"	1	0	0
"HSPA5"	0	1	0
"HTR2B"	0	1	0
"HTR4"	0	1	0
"HTT"	1	1	1
"ICAM1"	1	1	1
"ID2"	1	1	1
"ID4"	3	3	3
"IFNAR1"	1	2	1
"IFNAR2"	2	2	2
"IFT172"	1	0	0
"IFT27"	1	0	1
"IFT57"	3	5	4
"IGSF6"	0	1	1
"IKBKB"	1	2	1
"IKZF1"	0	0	1
"IKZF5"	1	2	1
"IL10RB"	0	0	1
"IL11RA"	7	6	6
"IL16"	1	1	2
"IL17RA"	0	1	1
"IL18R1"	1	1	1
"IL1R1"	0	0	2
"IL27RA"	1	0	1
"IL31RA"	1	0	0
"IL3RA"	1	1	1
"IL5RA"	1	0	1
"IL6R"	3	4	4
"IL6ST"	0	1	0
"IL7R"	0	0	1
"ILK"	0	0	1
"ING5"	1	1	1
"INPP4A"	0	3	0
"INPP5B"	4	4	2
"INPP5D"	1	1	1
"IQGAP2"	1	1	0
"IQSEC1"	5	3	4
"IRAK1BP1"	1	0	1
"IRAK3"	1	2	1
"IRF7"	0	1	1
"IRF8"	1	2	3
"IRS1"	1	0	0
"IRX1"	3	3	3
"IRX2"	2	2	1
"IRX3"	1	0	0
"IRX5"	1	1	0
"IRX6"	0	1	1
"ITGA1"	2	3	4
"ITGA10"	3	2	3
"ITGA7"	2	0	1
"ITGA8"	7	6	7
"ITGA9"	6	5	6
"ITGAX"	0	0	1
"ITGBL1"	2	2	2
"ITPKB"	0	1	0
"ITPR1"	1	1	1
"ITPR3"	1	1	0
